"No","Category Name","Element Name","Element Id","Radius","Dimeter","Lines Count","Parameter","Area","Height","Clear Height","Volume","Level"
"1","Structural Columns","C6 1000 x 300mm","455871","0","0","4","2.6","0.3","9.31","8.88","2.66","Footing Elv - 1.5"
"2","Structural Columns","C6 1000 x 300mm","456885","0","0","4","2.6","0.3","11.76","11.2","3.36","Footing Elv - 1.5"
"3","Structural Columns","C8 250X250X650/250X250X650mm","456921","0","0","11","4.6","0.67","11.76","11.53","7.78","Footing Elv - 1.5"
"4","Structural Columns","C8 250X250X650/250X250X650mm","458136","0","0","14","4.6","0.67","13.91","13.02","8.79","Footing Elv - 1.5"
"5","Structural Columns","C8 250X250X650/250X250X650mm","458197","0","0","15","4.6","0.67","13.91","13.02","8.79","Footing Elv - 1.5"
"6","Structural Columns","C8 250X250X650/250X250X650mm","458311","0","0","13","4.6","0.67","13.91","12.72","8.59","Footing Elv - 1.5"
"7","Structural Columns","C8* 250X250X650/250X250X650mm","458381","0","0","13","4.6","0.79","13.91","13.02","10.25","Footing Elv - 1.5"
"8","Structural Columns","C9 700X450/250X250mm","458434","0","0","6","3.3","0.46","13.51","13.02","6.02","Footing Elv - 1.5"
"9","Structural Columns","C9 700X450/250X250mm","459570","0","0","6","3.3","0.46","13.91","13.02","6.02","Footing Elv - 1.5"
"10","Structural Columns","C9 700X450/250X250mm","459589","0","0","6","3.3","0.46","13.91","12.72","5.88","Footing Elv - 1.5"
"11","Structural Columns","Cm 250x250/250X250mm","459629","0","0","6","3.2","0.39","17.86","17.86","6.96","Footing Elv - 1.5"
"12","Structural Columns","Cm 250x250/250X250mm","459684","0","0","6","3.2","0.39","17.86","17.86","6.96","Footing Elv - 1.5"
"13","Structural Columns","Cm 250x250/250X250mm","459718","0","0","6","3.2","0.39","17.86","17.63","6.87","Footing Elv - 1.5"
"14","Structural Columns","Cm 250x250/250X250mm","459720","0","0","6","3.2","0.39","17.86","17.76","6.93","Footing Elv - 1.5"
"15","Structural Columns","C2 500mm","459772","0.25","0.5","2","1.57","0.2","9.31","8.98","1.76","Footing Elv - 1.5"
"16","Structural Columns","C2 500mm","459978","0.25","0.5","2","1.57","0.2","9.31","8.98","1.76","Footing Elv - 1.5"
"17","Structural Columns","C2 500mm","460083","0.25","0.5","2","1.57","0.2","11.66","11.13","2.19","Footing Elv - 1.5"
"18","Structural Columns","C2 500mm","460476","0.25","0.5","2","1.57","0.2","11.66","11.13","2.19","Footing Elv - 1.5"
"19","Structural Columns","C1 400mm","460769","0.2","0.4","2","1.26","0.13","11.66","11.33","1.42","Footing Elv - 1.5"
"20","Structural Columns","C1 400mm","460897","0.2","0.4","2","1.26","0.13","9.51","9.18","1.15","Footing Elv - 1.5"
"21","Structural Columns","C3 600mm","461016","0.3","0.6","2","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"22","Structural Columns","C3 600mm","461092","0.3","0.6","2","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"23","Structural Columns","C3 600mm","461157","0.3","0.6","2","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"24","Structural Columns","C3 600mm","461367","0.3","0.6","2","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"25","Structural Columns","C3 600mm","461486","0.3","0.6","4","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"26","Structural Columns","C3 600mm","461540","0.3","0.6","2","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"27","Structural Columns","C3 600mm","461591","0.3","0.6","2","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"28","Structural Columns","C3 600mm","461668","0.3","0.6","2","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"29","Structural Columns","C3 600mm","461731","0.3","0.6","4","1.88","0.28","4.86","4.86","1.37","Footing Elv - 1.5"
"30","Structural Columns","C5 1000 x 500mm","461977","0","0","6","3","0.5","13.91","13.02","6.51","Footing Elv - 1.5"
"31","Structural Columns","C5 1000 x 500mm","462218","0","0","6","3","0.5","13.91","13.02","6.51","Footing Elv - 1.5"
"32","Structural Columns","C3 600mm","462383","0.3","0.6","2","1.88","0.28","11.76","11.43","3.23","Footing Elv - 1.5"
"33","Structural Columns","C3 600mm","462428","0.3","0.6","2","1.88","0.28","9.31","8.98","2.54","Footing Elv - 1.5"
"34","Structural Columns","C4 500 x 500mm","462596","0","0","4","2","0.25","13.91","12.72","3.18","Footing Elv - 1.5"
"35","Structural Columns","C7 700x450/250X250mm","462788","0","0","8","4.2","0.58","13.91","12.72","7.31","Footing Elv - 1.5"
"36","Structural Columns","C10 250 x 250mm","464896","0","0","6","1.71","0.15","12.66","12.26","1.85","Footing Elv - 1.5"
"37","Structural Columns","C10 250 x 250mm","465640","0","0","6","1.71","0.15","12.66","12.26","1.85","Footing Elv - 1.5"
"38","Structural Columns","C7 700x450/250X250mm","465799","0","0","8","4.2","0.58","13.91","12.82","7.37","Footing Elv - 1.5"
"39","Structural Columns","mm","518110","0","0","9","2.77","0.28","5.59","5.59","1.58","m2"
"40","Structural Columns","mm","518451","0","0","9","2.77","0.28","5.59","5.59","1.58","m2"
"41","Structural Columns","mm","518528","0","0","9","2.77","0.28","5.59","5.59","1.58","m2"
"42","Structural Columns","mm","518673","0","0","9","2.77","0.28","5.59","5.59","1.58","m2"
"43","Structural Columns","m1 150 mm","525551","0.07","0.15","2","0.47","0.02","34.95","34.95","0.62","Footing Elv - 1.5"
"44","Structural Columns","m1 150 mm","526269","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"45","Structural Columns","m1 150 mm","526493","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"46","Structural Columns","m1 150 mm","526702","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"47","Structural Columns","m1 150 mm","526797","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"48","Structural Columns","m1 150 mm","526868","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"49","Structural Columns","m1 150 mm","526931","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"50","Structural Columns","m1 150 mm","526970","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"51","Structural Columns","m1 150 mm","527091","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"52","Structural Columns","m1 150 mm","527622","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
"53","Structural Columns","m1 150 mm","527683","0.07","0.15","2","0.47","0.02","3.89","3.89","0.07","m4"
